ID,DATA,TEL,CPF,SOLICITANTE,DS_RECEITA,MENSAGEM,DS_RECEITA_TRATADO,EXAME_IDENTIFICADO
10,2020-04-24,1100000010,12345670010,Fernando,"À Nutricionista,  Encaminho o paciente supracitado, portardor de HAS, DLP e obesidade 1 para avaliação e seguimento.  Grata, ",,nutricionista encaminho paciente supracitado portardor has dlp obesidade 1 avaliacao seguimento grata,Nulo
11,2020-05-11,1100000011,12345670011,Cristina," USO NASAL:  SORO FISIOLÓGICO 0,9%  FAZER LAVAGEM NASAL SEMPRE QUE NECESSÁRIO COM DISPOSITIVO ADEQUADO (SERINGA, NASOAR ENTRE OUTROS)  USO INALATÓRIO:  SORO FISIOLÓGICO 0,9% ---------------------- FAZER INALAÇÃO COM 5 ML, 3 VEZES AO DIA, POR 5 DIAS   ",,uso nasal soro fisiologico 09 fazer lavagem nasal sempre que necessario com dispositivo adequado seringa nasoar entre outros uso inalatorio soro fisiologico 09 fazer inalacao com 5 ml 3 vezes ao dia por 5 dias,Nulo
12,2020-11-25,1100000012,12345670012,Rafael,USO ORAL: 1. PREDSIM 40MG TOMAR 01 CP AO DIA POR 5 DIAS 2. PROFENID 100MG TOMAR 01 CP DE 12/12H POR 5 DIAS 3. ACETILCISTEINA 600MG TOMAR 01 SACHE AO DIA POR 5-7 DIAS 4. DIPIRONA 1G TOMAR 01 CP DE 6/6H SE FEBRE ,,uso oral 1 predsim 40mg tomar 01 cp ao dia por 5 dias 2 profenid 100mg tomar 01 cp 1212h por 5 dias 3 acetilcisteina 600mg tomar 01 sache ao dia por 57 dias 4 dipirona 1g tomar 01 cp 66h se febre,Nulo
13,2020-08-21,1100000013,12345670013,Patrícia,1- LISADOR DIP 1GR------------------------------------------1CX         TOMAR 1 CP VO DE 6/6 HS SE FEBRE OU DOR  ,,1 lisador dip 1gr1cx tomar 1 cp vo 66 hs se febre ou dor,Nulo
14,2020-12-22,1100000014,12345670014,Vinícius,"Peso: 8kg Uso oral 1- Paracetamol gotas Dar 8 gotas via oral 6/6 horas se dor ou febre Uso inalatorio 2- Inalação com Soro Fisiologico 0,9%----- 2ml                        Clenil A 400mcg-------------- Meio flaconete 1x a noite, 5 dias Uso Nasal 3- Soro fisiologico 0,9% Llimpeza nasal ",,peso 8kg uso oral 1 paracetamol gotas dar 8 gotas via oral 66 horas se dor ou febre uso inalatorio 2 inalacao com soro fisiologico 09 2ml clenil 400mcg meio flaconete 1x noite 5 dias uso nasal 3 soro fisiologico 09 llimpeza nasal,Nulo
15,2020-08-24,1100000015,12345670015,Camila,Uso oral  1- Tolrest 25mg ----------- 14 comp  Tomar um comp via oral por 14 dias e apos aumentar para 50mg  2- Tolrest 50mg ------------- 60 comp  Tomar um comp via oral cedo até o retorno  ,,uso oral 1 tolrest 25mg 14 comp tomar comp via oral por 14 dias apos aumentar 50mg 2 tolrest 50mg 60 comp tomar comp via oral cedo ate retorno,Nulo
16,2020-12-30,1100000016,12345670016,Rodrigo,"USO ORAL: 1) BUSCOPAM COMPOSTO --------------------- 01 COMP ATE DE 8 EM 8 HORAS, SE DOR ABDOMINAL.  2) DRAMIN B6 ---------------------------------------- 01 COMP ATE DE 8 EM 8 HORAS, SE NAUSEAS OU VOMITOS.  3) SACCHAROMYCES BOULARDII 200MG ----- 01 COMP DE 12 EM 12 HORAS, POR 5 DIAS.  4) ENTEROGERMINA ---------------------- INGERIR 01 FLACONETE AO DIA.  ",,uso oral 1 buscopam composto 01 comp ate 8 em 8 horas se dor abdominal 2 dramin b6 01 comp ate 8 em 8 horas se nauseas ou vomitos 3 saccharomyces boulardii 200mg 01 comp 12 em 12 horas por 5 dias 4 enterogermina ingerir 01 flaconete ao dia,Nulo
17,2020-12-06,1100000017,12345670017,Tatiana,"uso  oral  continuo synthroid  137-------------------- tomar 1 cp por  via  oral cedo , em jejum , com agua e  aguardar 40 min para desjejum  ",,uso oral continuo synthroid 137 tomar 1 cp por via oral cedo em jejum com agua aguardar 40 min desjejum,Nulo
18,2020-05-09,1100000018,12345670018,Gustavo,uso interno: 1) clavulin BD 400mg/5ml Dar 5 ml via oral de 12 em 12 horas por 10 dias  2) prelone 3mg/ml Dar 6ml 1x dia pr via oral por 5 dias  3) culturelle junior  Dar 1 cp mastigavel via oral 1x dia por 10 dias  ,,uso interno 1 clavulin bd 400mg5ml dar 5 ml via oral 12 em 12 horas por 10 dias 2 prelone 3mgml dar 6ml 1x dia pr via oral por 5 dias 3 culturelle junior dar 1 cp mastigavel via oral 1x dia por 10 dias,Nulo
19,2020-04-23,1100000019,12345670019,Isabela, uso oral  Mioflex A ..................... 1 cx. tomar 1 cp. VO 8/8 hs. Miosan caf 5 mg ........... 1 cx. tomar 1 cp. VO 12/12 hs. ,,uso oral mioflex 1 cx tomar 1 cp vo 88 hs miosan caf 5 mg 1 cx tomar 1 cp vo 1212 hs,Nulo
20,2020-05-26,1100000020,12345670020,João,USO ORAL 1. MUSCULARE 10MG ------- TOMAR 1 CP ANTES DE DORMIR POR 5 DIAS  ,,uso oral 1 musculare 10mg tomar 1 cp antes dormir por 5 dias,Nulo
21,2020-11-11,1100000021,12345670021,Maria,"USO INTERNO 1. Ondansetrona 4 mg ------------------------------------- Diluir 1 comprimido em 10 mL de água, e oferta 3 mL, via oral, de até 8/8 horas se nausea ou vomito ",,uso interno 1 ondansetrona 4 mg diluir 1 comprimido em 10 ml agua oferta 3 ml via oral ate 88 horas se nausea ou vomito,Nulo
22,2020-03-04,1100000022,12345670022,José,USO ORAL 1) PROLIVE ---------------------------------------- 01 CX TOMAR 01 CP DE 12/12 HORAS POR 05 DIAS ,,uso oral 1 prolive 01 cx tomar 01 cp 1212 horas por 05 dias,Nulo
23,2020-07-27,1100000023,12345670023,Ana,"SOLICITAÇÃO DE EXAME CID10: C50.9 SOLICITO: 1. US de mamas - 40901114 2. US de axilas - 40901211 JUSTIFICATIVA: Paciente atualmente com 57 anos, tratada por neoplasia de mama. Última imagem em novembro/2023, com nódulos novos, sem características suspeitas. Solicito exame para avaliação evolutiva. ",,solicitacao exame cid10 c509 solicito 1 us mamas 40901114 2 us axilas 40901211 justificativa paciente atualmente com 57 anos tratada por neoplasia mama ultima imagem em novembro2023 com nodulos novos sem caracteristicas suspeitas solicito exame avaliacao evolutiva,Ultrassonografia
24,2020-12-08,1100000024,12345670024,Pedro,"Uso oral 1) Paracetamol 100mg/ml suspensão¿¿¿¿¿¿¿¿¿¿¿¿¿¿.frasco Dar 1,3ml, via oral, de 6 em 6 horas se dor ou febre (temperatura maior que 37,8ºC) OU 2) Dipirona 50mg/ml suspensão¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿.frasco Dar 5 ml, via oral, de 6 em 6 horas se dor ou febre (temperatura maior que 37,8ºC) OU 3) Ibuprofeno 100mg/ml gotas¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿.frasco Dar 10 gotas, por boca de 6 em 6 horas se dor ou febre (temperatura maior que 37,8ºC) **VOLUME LÍQUIDOS: 1.000ml/dia CURVA TÉRMICA DATA                 HORA              TEMPERATURA 05/02                  15h                     38,3ºC ",,uso oral 1 paracetamol 100mgml suspensaofrasco dar 13ml via oral 6 em 6 horas se dor ou febre temperatura maior que 378c ou 2 dipirona 50mgml suspensaofrasco dar 5 ml via oral 6 em 6 horas se dor ou febre temperatura maior que 378c ou 3 ibuprofeno 100mgml gotasfrasco dar 10 gotas por boca 6 em 6 horas se dor ou febre temperatura maior que 378c volume liquidos 1000mldia curva termica data hora temperatura 0502 15h 383c,Nulo
25,2020-08-09,1100000025,12345670025,Mariana,USO ORAL 1) AMOXICILINA + CLAVULANATO 125+875MG ------------- 20CP TOMAR 1 CP DE 12 EM 12 HORAS POR 10 DIAS 2) PREDNISONA 20MG ----------- TOMAR 1 CP CEDO POR 4 DIAS LAVAGEM NASAL COM SORO - PELO MENOS 5 VEZES AO DIA ,,uso oral 1 amoxicilina clavulanato 125875mg 20cp tomar 1 cp 12 em 12 horas por 10 dias 2 prednisona 20mg tomar 1 cp cedo por 4 dias lavagem nasal com soro pelo menos 5 vezes ao dia,Nulo
26,2020-07-31,1100000026,12345670026,Carlos,Solicito sorologia para citomegalovirus                                        mononucleose                                        toxoplasmose  ,,solicito sorologia citomegalovirus mononucleose toxoplasmose,Nulo
27,2020-04-23,1100000027,12345670027,Paula,"USO ORAL: 1. AMOXICILINA + CLAVULANATO SOLUÇÃO ORAL (400+57MG/5ML) ------ Dar 3mL, de 12/12 horas, por 7 dias. 2. DIPIRONA SOLUÇÃO ORAL (50MG/ML) ------ Dar 3mL, de até 6/6 horas, se dor ou febre (T = 37,8 ou +). 3. PRATIUM GOTAS (140MG/ML) ------ Dar 7 gotas, se necessário intercalar com Dipirona. * Retornar ao PSI em 48 horas se febre ou imediatamente se piora do quadro, novos sintomas ou sinais de alarme (queda do estado geral / prostração / sonolência excessiva, inapetência, vômitos persistentes, sinais de desconforto respiratório, dor intensa, manchas no corpo...) ",,uso oral 1 amoxicilina clavulanato solucao oral 40057mg5ml dar 3ml 1212 horas por 7 dias 2 dipirona solucao oral 50mgml dar 3ml ate 66 horas se dor ou febre t 378 ou 3 pratium gotas 140mgml dar 7 gotas se necessario intercalar com dipirona retornar ao psi em 48 horas se febre ou imediatamente se piora quadro novos sintomas ou sinais alarme queda estado geral prostracao sonolencia excessiva inapetencia vomitos persistentes sinais desconforto respiratorio dor intensa manchas no corpo,Nulo
28,2020-12-08,1100000028,12345670028,Lucas,SOLICITO AVALIAÇÃO PRE OPERATORIA PARA COLECISTECTOMIA VIDEOLAPAROSCOPICA PNEUMOLOGISTA GRATA ,,solicito avaliacao pre operatoria colecistectomia videolaparoscopica pneumologista grata,Nulo
29,2020-06-24,1100000029,12345670029,Juliana,"USO ORAL: 1- PREDNISONA 20MG TOMAR 1 CP VO DE 12/12H POR 05 DIAS 2- LORATADINA 10MG TOMAR 1 CP VO AO DIA POR 05 DIAS 3- DIPIRONA 1G TOMAR 1 CP VO DE 6/6H SE DOR E OU FEBRE  4- ACETILCISTEINA 600MG DILUIR UM ENVELOPE EM 50ML DE ÁGUA, TOMAR A NOITE, POR 05 DIAS 5- SIGMA CLAV BD 875+125MG TOMAR 1 CP VO DE 12/12H POR 7 DIAS  ",,uso oral 1 prednisona 20mg tomar 1 cp vo 1212h por 05 dias 2 loratadina 10mg tomar 1 cp vo ao dia por 05 dias 3 dipirona 1g tomar 1 cp vo 66h se dor ou febre 4 acetilcisteina 600mg diluir envelope em 50ml agua tomar noite por 05 dias 5 sigma clav bd 875125mg tomar 1 cp vo 1212h por 7 dias,Nulo
30,2020-12-23,1100000030,12345670030,Fernando,"USO ORAL 1- LISADOR DIP 1G _________________________________________________ TOMAR 1 COMPRIMIDO VIA ORAL, DE 8 EM 8 HORAS, SE DOR USO TOPICO 1- ARTROTOP CREME ________________________________________________ APLICAR NO LOCAL DA DOR, 3X AO DIA LAVAR AS MAOS APOS APLICAR ",,uso oral 1 lisador dip 1g tomar 1 comprimido via oral 8 em 8 horas se dor uso topico 1 artrotop creme aplicar no local dor 3x ao dia lavar maos apos aplicar,Nulo
31,2020-06-19,1100000031,12345670031,Cristina,USO ORAL 1- CETOPROFENO 100mg TOMAR 1CP DE 12 EM 12 POR ATE 5 DIAS 2- DIPIRONA 1g TOMAR 1CP DE 6 EM 6 SE DOR 3- MIOSAN 5mg TOMAR 1CP A NOITE POR 5 DIAS ,,uso oral 1 cetoprofeno 100mg tomar 1cp 12 em 12 por ate 5 dias 2 dipirona 1g tomar 1cp 6 em 6 se dor 3 miosan 5mg tomar 1cp noite por 5 dias,Nulo
32,2020-11-14,1100000032,12345670032,Rafael,ENCAMINHAMENTO AO PSICOLOGO PACIENTE EM PROGRAMAÇÃO DE CIRURGIA BARIÁTRICA. SOLICITO AVALIAÇÃO E ACOMPANHAMENTO. GRATO. E669 ,,encaminhamento ao psicologo paciente em programacao cirurgia bariatrica solicito avaliacao acompanhamento grato e669,Nulo
33,2020-08-12,1100000033,12345670033,Patrícia,"USO ORAL: 1. PARACETAMOL GOTAS 200MG/ML DAR 35 GOTAS DE 6/6 HORAS SE DOR OU FEBRE 2. TERAPIA DE REIDRATAÇÕ ORAL - 1.200ML DE SORO DE REIDRATAÇÃO ORAL (PEDIALYTE, REHIDRAT) - 2.300ML DE LÍQUIDOS COMUNS DO DIA A DIA (ÁGUA, ÁGUA DE COCO, CHÁS, SUCOS NATURAIS) OBS: - RETORNAR EM 48 HORAS PARA CONTROLE DE PLAQUETAS - RETORNAR IMEDIATAMENTE SE SINAIS DE ALARME:  DOR ABDOMINAL INTENSA E CONTINUA VOMITOS PERSISTENTES SENSAÇÃO DE DESMAIO SINAIS DE DESIDARATAÇÃO SANGRAMENTOS ESPONTANEOS (NARINAS, GENGIVAS, URINA, FEZES, VOMITO) FALTA DE AR ",,uso oral 1 paracetamol gotas 200mgml dar 35 gotas 66 horas se dor ou febre 2 terapia reidrataco oral 1200ml soro reidratacao oral pedialyte rehidrat 2300ml liquidos comuns dia dia agua agua coco chas sucos naturais obs retornar em 48 horas controle plaquetas retornar imediatamente se sinais alarme dor abdominal intensa continua vomitos persistentes sensacao desmaio sinais desidaratacao sangramentos espontaneos narinas gengivas urina fezes vomito falta ar,Nulo
34,2020-01-22,1100000034,12345670034,Vinícius,USO ORAL  1-FLANCOX 500 MG  1 CP DE 12/12 H POR 5 DIAS  2-NOVALGINA 1 G  1 CP DE 6/6 H SE DOR  ,,uso oral 1flancox 500 mg 1 cp 1212 h por 5 dias 2novalgina 1 g 1 cp 66 h se dor,Nulo
35,2020-09-13,1100000035,12345670035,Camila,"USO ORAL 1) DIPIRONA 1 G -----------  TOMAR 01 COMPRIMIDO DE 6/6 HORAS SE DOR OU FEBRE 2) LORATADINA 10 MG -------- TOMAR 01 COMPRIMIDO DE 12/12 HORAS POR 05 DIAS 3) EXPEC --------------- TOMAR 10 ML DE 8/8 HORAS POR 05 DIAS 4) PREDNISONA 20 MG -------------- TOMAR 01 CP AO DIA POR 05 DIAS USO NASAL 5) RINOSORO JET 0,9% SPRAY NASAL 100 ML ------ REALIZAR LAVAGEM NASAL DE 6/6 HORAS ",,uso oral 1 dipirona 1 g tomar 01 comprimido 66 horas se dor ou febre 2 loratadina 10 mg tomar 01 comprimido 1212 horas por 05 dias 3 expec tomar 10 ml 88 horas por 05 dias 4 prednisona 20 mg tomar 01 cp ao dia por 05 dias uso nasal 5 rinosoro jet 09 spray nasal 100 ml realizar lavagem nasal 66 horas,Nulo
36,2020-08-21,1100000036,12345670036,Rodrigo,"USO ORAL   1.DIPIRONA SOLUÇÃO ORAL (50MG/ML) ------------------------ DAR 4 ML, DE 6/6H SE DOR OU FEBRE   USO NASAL   1.SORO FISIOLÓGICO ---------------------------------------------- LAVAR O NARIZ COM 5ML DE SORO EM CADA NARINA DE 3/3H OU SEMPRE QUE NECESSÁRIO E 2. INALAÇÃO COM SORO FISIOLÓGICO 0,9% ----- 5ML NEBULIZAR DE 3-4 VEZES AO DIA ** RETORNAR EM 48H SE PERSISTÊNCIA DA FEBRE OU IMEDIATO AO PS CASO APAREÇAM SINAIS DE ALARME ",,uso oral 1dipirona solucao oral 50mgml dar 4 ml 66h se dor ou febre uso nasal 1soro fisiologico lavar nariz com 5ml soro em cada narina 33h ou sempre que necessario 2 inalacao com soro fisiologico 09 5ml nebulizar 34 vezes ao dia retornar em 48h se persistencia febre ou imediato ao ps caso aparecam sinais alarme,Nulo
37,2020-12-29,1100000037,12345670037,Tatiana,USO ORAL 1) NOVALGINA 1 G ----------- 01 CX TOMAR 01 CP DE 6/6 HORAS SE DOR OU FEBRE ,,uso oral 1 novalgina 1 g 01 cx tomar 01 cp 66 horas se dor ou febre,Nulo
38,2020-06-24,1100000038,12345670038,Gustavo,USO ORAL 1. FUROSEMIDA 40MG 1CP CEDO POR 7 DIAS 2. PRODNISOLONA 20MG 1CP X DIA POR 3 DIAS ,,uso oral 1 furosemida 40mg 1cp cedo por 7 dias 2 prodnisolona 20mg 1cp x dia por 3 dias,Nulo
39,2020-12-15,1100000039,12345670039,Isabela,USO ORAL 1- DIPIRONA 1G TOMAR 1CP 6/6H SE DOR OU FEBRE 2- FLORAX SM TOMAR 1 FRASCO 12/12H POR 2 DIAS 3- VONAU FLASH 8MG TOMAR 1CP SUBLINGUAL 12/12H SE NAUSEA ,,uso oral 1 dipirona 1g tomar 1cp 66h se dor ou febre 2 florax sm tomar 1 frasco 1212h por 2 dias 3 vonau flash 8mg tomar 1cp sublingual 1212h se nausea,Nulo
40,2020-03-17,1100000040,12345670040,João,USO ORAL  1- PARACETAMOL 750MG TOMAR 1 CP VO DE 6/6H SE DOR E OU FEBRE  ,,uso oral 1 paracetamol 750mg tomar 1 cp vo 66h se dor ou febre,Nulo
41,2020-06-01,1100000041,12345670041,Maria,USO ORAL 1. CELESTAMINE ---------------- TOMAR 10 ML DE 8/8H POR 5 DIAS 2. PROFENID 100 MG ------- TOMAR 01 CP DE 12/12H POR 5 DIAS 3. ACETILCISTEINA 600MG TOMAR 01 SACHE AO DIA POR 5-7 DIAS  ,,uso oral 1 celestamine tomar 10 ml 88h por 5 dias 2 profenid 100 mg tomar 01 cp 1212h por 5 dias 3 acetilcisteina 600mg tomar 01 sache ao dia por 57 dias,Nulo
42,2020-03-22,1100000042,12345670042,José,"USO ORAL 1- LISADOR DIP 1G _________________________________________________ TOMAR 1 COMPRIMIDO VIA ORAL, DE 8 EM 8 HORAS, POR 7 DIAS 2- MAXSULID 400MG _________________________________________________ TOMAR 1 COMPRIMIDO VIA ORAL, DE 12 EM 12 HORAS, POR 7 DIAS ",,uso oral 1 lisador dip 1g tomar 1 comprimido via oral 8 em 8 horas por 7 dias 2 maxsulid 400mg tomar 1 comprimido via oral 12 em 12 horas por 7 dias,Nulo
43,2020-12-21,1100000043,12345670043,Ana,"Ao Funcional Paciente apresentando redução de mobilidade de quadril, tendinite de tornozelo e redução fraqueza do tibial. Solicito exercicios que foquem em mobilidade de quadril (alongamento), fortalecimento do tibial. ",,ao funcional paciente apresentando reducao mobilidade quadril tendinite tornozelo reducao fraqueza tibial solicito exercicios que foquem em mobilidade quadril alongamento fortalecimento tibial,Nulo
44,2020-08-15,1100000044,12345670044,Pedro, USO ORAL ..........  MIOFLEX A ..........  TOMAR 1 COMPRIMIDO VIA ORAL A CADA 12 HORAS POR 5 DIAS PARACETAMOL 500MG ..........  TOMAR 01 COMPRIMIDO A CADA 06 HORAS SE SENTIR DOR ,,uso oral mioflex tomar 1 comprimido via oral cada 12 horas por 5 dias paracetamol 500mg tomar 01 comprimido cada 06 horas se sentir dor,Nulo
45,2020-01-25,1100000045,12345670045,Mariana,USO ORAL 1. Escopolamina 10mg ___________________ Tomar 1 comprimido de 8/8h se dor abdominal 2. Ondansetrona 8mg ____________________________________ Tomar 1 comprimido via sublingual de 8/8h se tiver náuseas ou vômitos 3.Soro de reidratação Oral _______________________________ Diluir 1 sachê em 1L de água e tomar 1 copo (250ml) após cada episódio de evacuação líquida 4. Floratil 200mg ________________________________________ Tomar 1 cp 12/12h  por 3 dias ,,uso oral 1 escopolamina 10mg tomar 1 comprimido 88h se dor abdominal 2 ondansetrona 8mg tomar 1 comprimido via sublingual 88h se tiver nauseas ou vomitos 3soro reidratacao oral diluir 1 sache em 1l agua tomar 1 copo 250ml apos cada episodio evacuacao liquida 4 floratil 200mg tomar 1 cp 1212h por 3 dias,Nulo
46,2020-11-15,1100000046,12345670046,Carlos,USO ORAL 1)PREDNISONA 20MG--- 01CX TOMAR 02CP PELA MANHÃ POR 03 DIAS 2)DIPIRONA 500MG---- 01CX TOMAR 02CP DE 6/6HRS SE DOR OU FEBRE 3)ALEKTOS 20MG--- 01CX TOMAR 01CP A NOITE POR 05 DIAS USO NASAL 4)BUDESONIDA SPRAY NASAL 100MCG---- 01CX USAR 02 JATOS EM CADA NARINA DE 12/12HRS POR 30 DIAS ,,uso oral 1prednisona 20mg 01cx tomar 02cp pela manha por 03 dias 2dipirona 500mg 01cx tomar 02cp 66hrs se dor ou febre 3alektos 20mg 01cx tomar 01cp noite por 05 dias uso nasal 4budesonida spray nasal 100mcg 01cx usar 02 jatos em cada narina 1212hrs por 30 dias,Nulo
47,2020-11-08,1100000047,12345670047,Paula,"USO ORAL:  1)	PARACETAMOL OU DIPIRONA GOTAS ----------------  DAR 40 GOTAS, DE 6/6 HORAS, SE DOR OU FEBRE (TEMPERATURA MAIOR OU IGUAL A 37,8ºC).  2)	HEXOMEDINE SPRAY------------- APLICAR 1 JATO EM CADA LADO DA GARGANTA, DE 4/4 HORAS ATE MELHORA DO QUADRO.               3) VONAU FLASH 4MG  ----- DAR 2 COMPRIMIDOS DE 8/8 HORAS SE NAUSEAS OU VOMITOS. # ORIENTAÇÕES EM CASO DE FEBRE: - CASO A FEBRE RETORNE ANTES DO HORÁRIO DA MEDICAÇÃO, DAR BANHO OU FAZER COMPRESSAS DE ÁGUA FRIA EM REGIÕES DE AXILAS E VIRILHA; - O BANHO DEVE SER DADO EM TEMPERATURA AMBIENTE (EVITAR BANHO MUITO FRIO OU QUENTE); - REALIZAR ¿DIÁRIO DA FEBRE¿¿: ANOTAR VALOR E HORÁRIO DA TEMPERATURA, SE FEBRE; - RETORNAR PRECOCEMENTE SE SINAIS DE ALARME. ",,uso oral 1paracetamol ou dipirona gotas dar 40 gotas 66 horas se dor ou febre temperatura maior ou igual 378c 2hexomedine spray aplicar 1 jato em cada lado garganta 44 horas ate melhora quadro 3 vonau flash 4mg dar 2 comprimidos 88 horas se nauseas ou vomitos orientacoes em caso febre caso febre retorne antes horario medicacao dar banho ou fazer compressas agua fria em regioes axilas virilha banho deve ser dado em temperatura ambiente evitar banho muito frio ou quente realizar diario febre anotar valor horario temperatura se febre retornar precocemente se sinais alarme,Nulo
48,2020-12-21,1100000048,12345670048,Lucas,"USO ORAL 1- DIPIRONA 500MG _________________________________________________ TOMAR 1 COMPRIMIDO VIA ORAL, DE 8 EM 8 HORAS, SE DOR  2- ALIVIUM 400MG _________________________________________________ TOMAR 1 COMPRIMIDO VIA ORAL, DE 12 EM 12 HORAS, POR 5 DIAS  ORIENTAÇÕES COMPRESSA GELADA LOCAL ..........  - REALIZAR 20 MINUTOS A CADA 03 HORAS, NÃO REALIZAR DIRETAMENTE SOB A PELE. ",,uso oral 1 dipirona 500mg tomar 1 comprimido via oral 8 em 8 horas se dor 2 alivium 400mg tomar 1 comprimido via oral 12 em 12 horas por 5 dias orientacoes compressa gelada local realizar 20 minutos cada 03 horas nao realizar diretamente sob pele,Nulo
